timestamp,cpu_load,events_per_sec,avg_latency,score
2026-04-27 07:41:08,30%,1039.19,0.96,1082.49
2026-04-27 07:41:08,40%,979.62,1.02,960.41
2026-04-27 07:41:08,50%,987.85,1.01,978.07
2026-04-27 07:41:08,60%,952.34,1.05,906.99
2026-04-27 07:41:08,70%,982.61,1.02,963.34
2026-04-27 07:41:08,80%,887.46,1.13,785.36
2026-04-27 07:41:08,90%,889.96,1.12,794.61
2026-04-27 08:12:47,30%,973.41,1.03,945.06
2026-04-27 08:12:47,40%,1008.14,0.99,1018.32
2026-04-27 08:12:47,50%,1035.10,0.97,1067.11
2026-04-27 08:12:47,60%,968.63,1.03,940.42
2026-04-27 08:12:47,70%,964.54,1.04,927.44
2026-04-27 08:12:47,80%,901.69,1.11,812.33
2026-04-27 08:12:47,90%,833.12,1.20,694.27
2026-04-27 08:44:25,30%,956.62,1.04,919.83
2026-04-27 08:44:25,40%,1005.96,0.99,1016.12
2026-04-27 08:44:25,50%,968.69,1.03,940.48
2026-04-27 08:44:25,60%,962.98,1.04,925.94
2026-04-27 08:44:25,70%,948.05,1.05,902.90
2026-04-27 08:44:25,80%,905.49,1.10,823.17
2026-04-27 08:44:25,90%,884.73,1.13,782.95
2026-04-27 09:16:03,30%,1051.70,0.95,1107.05
2026-04-27 09:16:03,40%,1048.37,0.95,1103.55
2026-04-27 09:16:03,50%,953.43,1.05,908.03
2026-04-27 09:16:03,60%,954.24,1.05,908.80
2026-04-27 09:16:03,70%,972.05,1.03,943.74
2026-04-27 09:16:03,80%,852.92,1.17,728.99
2026-04-27 09:16:03,90%,873.81,1.14,766.50
2026-04-27 09:47:42,30%,1001.43,1.00,1001.43
2026-04-27 09:47:42,40%,1017.39,0.98,1038.15
2026-04-27 09:47:42,50%,1009.99,0.99,1020.19
2026-04-27 09:47:42,60%,959.00,1.04,922.12
2026-04-27 09:47:42,70%,942.32,1.06,888.98
2026-04-27 09:47:42,80%,907.86,1.10,825.33
2026-04-27 09:47:42,90%,827.83,1.21,684.16
2026-04-27 10:19:20,30%,1029.37,0.97,1061.21
2026-04-27 10:19:20,40%,1012.52,0.99,1022.75
2026-04-27 10:19:20,50%,956.87,1.04,920.07
2026-04-27 10:19:20,60%,959.79,1.04,922.87
2026-04-27 10:19:20,70%,876.00,1.14,768.42
2026-04-27 10:19:20,80%,849.47,1.17,726.04
2026-04-27 10:19:20,90%,898.00,1.11,809.01
2026-04-27 10:50:58,30%,1008.82,0.99,1019.01
2026-04-27 10:50:58,40%,941.96,1.06,888.64
2026-04-27 10:50:58,50%,949.91,1.05,904.68
2026-04-27 10:50:58,60%,950.71,1.05,905.44
2026-04-27 10:50:58,70%,955.97,1.04,919.20
2026-04-27 10:50:58,80%,919.94,1.09,843.98
2026-04-27 10:50:58,90%,814.04,1.23,661.82
2026-04-27 11:22:37,30%,1030.79,0.97,1062.67
2026-04-27 11:22:37,40%,978.00,1.02,958.82
2026-04-27 11:22:37,50%,944.87,1.06,891.39
2026-04-27 11:22:37,60%,949.86,1.05,904.63
2026-04-27 11:22:37,70%,979.96,1.02,960.75
2026-04-27 11:22:37,80%,872.37,1.14,765.24
2026-04-27 11:22:37,90%,840.93,1.19,706.66
